,lambda,T,T_sky,band
145,669.3469387755102,0.7430984077839886,0.5521676162265992,r
146,672.1734693877551,0.6553756130958376,0.4864530437881831,r
147,675.0,0.378596699238438,0.2807040809074424,r
148,679.5918367346939,0.7018968312483929,0.5194762023142806,i
149,684.1836734693877,0.7119858523642417,0.5258815108107032,i
150,688.7755102040817,0.7153962240439411,0.5273214957459325,i
151,693.3673469387755,0.7160880322927534,0.5267120772453655,i
152,697.9591836734694,0.7255708178195738,0.5325376320579559,i
153,702.5510204081633,0.7324347572259711,0.536243744134423,i
154,707.1428571428571,0.7311394124970794,0.5338292587499629,i
155,711.7346938775511,0.7293136714897666,0.5310139049933392,i
156,716.3265306122449,0.7309130287132173,0.5306604526806811,i
157,720.9183673469388,0.7275440756864399,0.5266820752155719,i
158,725.5102040816327,0.7345724594376278,0.5301380825908214,i
159,730.1020408163265,0.7369797079013934,0.5302332827888011,i
160,734.6938775510204,0.74198944761774,0.5320042538357073,i
161,739.2857142857143,0.7385490309923189,0.5277117900610351,i
162,743.8775510204082,0.7398497593920087,0.52668203814297,i
163,748.469387755102,0.7401493784742628,0.524910649464548,i
164,753.0612244897959,0.7438330720958832,0.5254429204747212,i
165,757.6530612244898,0.7462450804136966,0.5250163815499057,i
166,762.2448979591836,0.7472877515074925,0.5235334983047878,i
167,766.8367346938776,0.7452606964174829,0.5198163078477801,i
168,771.4285714285714,0.7418987376931662,0.5151505992310247,i
169,776.0204081632653,0.7415026008526886,0.5124818865091816,i
170,780.6122448979592,0.7372135749589912,0.507133748029652,i
171,785.204081632653,0.7366706742341441,0.5043578777325497,i
172,789.795918367347,0.7376564822486763,0.5026261248131837,i
173,794.3877551020408,0.7312945387377734,0.495962492463941,i
174,798.9795918367347,0.7313948526895934,0.49370317291688204,i
175,803.5714285714286,0.7263859489624759,0.488196341121453,i
176,808.1632653061224,0.7166311248301099,0.4795947350313482,i
177,812.7551020408164,0.7118542341100423,0.4746266472618835,i
178,817.3469387755102,0.707431694884011,0.4700902348561641,i
179,821.9387755102041,0.6995953366098755,0.4635430472240717,i
180,826.530612244898,0.7009306881386111,0.4634014128666654,i
181,831.1224489795918,0.6893048555686047,0.4549148904837248,i
182,835.7142857142858,0.6844802286379537,0.45157862010165456,i
183,840.3061224489796,0.678031215798783,0.44721719511300473,i
184,844.8979591836735,0.6730116190905662,0.4444134614853125,i
185,849.4897959183673,0.6673404358258117,0.44117158013234065,i
186,854.0816326530612,0.658511031772125,0.4364893358242559,i
187,858.6734693877552,0.6473381498279936,0.43030000291887455,i
188,863.265306122449,0.636772509978873,0.4248507213870413,i
189,867.8571428571429,0.6266612485618269,0.41980477968443947,i
190,872.4489795918367,0.5658141521067968,0.3807415947312166,i
191,877.0408163265306,0.3688813878956594,0.2494246066607574,i
192,881.6326530612246,0.25108400403665443,0.17084618195060366,i
193,886.2244897959183,0.21467461777746308,0.1473830626225759,i
194,890.8163265306123,0.19499665824208623,0.1349722545107169,i
195,895.4081632653061,0.15698050839073882,0.10919905900783235,i
196,900.0,0.12303329408319284,0.08600859713414773,i
